endTime,artistName,trackName,msPlayed
2024-01-20 13:22,Drake,Jimmy Cooks (feat. 21 Savage),16883
2024-01-20 13:26,Metro Boomin,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",256026
2024-01-20 13:36,ABBA,Angeleyes,599333
2024-01-20 13:37,Kid Cudi,Day 'N' Nite (Nightmare),2530
2024-01-20 13:40,Lil Uzi Vert,XO Tour Llif3,182706
2024-01-20 13:41,Swedish House Mafia,Moth To A Flame (with The Weeknd),2830
2024-01-20 13:41,Kina,Can We Kiss Forever?,6960
2024-01-20 13:41,Swedish House Mafia,Don't You Worry Child - Radio Edit,103173
2024-01-20 13:41,Joji,YEAH RIGHT,2480
2024-01-20 13:42,Meek Mill,Dreams and Nightmares,2280
2024-01-20 13:42,Powfu,death bed (coffee for your head),1970
2024-01-20 13:42,SEB,seaside_demo,1780
2024-01-20 13:42,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2180
2024-01-20 13:42,Empire Of The Sun,Alive,2760
2024-01-20 13:45,Central Cee,Khabib,185230
2024-01-20 13:53,Fetty Wap,Trap Queen,202550
2024-01-20 14:48,JRND,Make Dem,169880
2024-01-20 14:56,21 Savage,redrum,252233
2024-01-20 18:10,21 Savage,redrum,19882
2024-01-20 18:25,The Vamps,Somebody To You,185097
2024-01-20 18:29,Empire Of The Sun,First Crush,250586
2024-01-20 18:36,Gorillaz,On Melancholy Hill,409993
2024-01-21 10:36,The Vamps,Somebody To You,185097
2024-01-21 10:41,Taylor Swift,Love Story (Taylor’s Version),28760
2024-01-21 10:41,Ever,Everything New (feat. Lil Baby & Q Da Fool),3018
2024-01-21 10:41,GROUPLOVE,Colours - Captain Cuts Remix,272321
2024-01-21 10:44,Groove Armada,Paper Romance,8031
2024-01-21 10:44,Ever,Everything New (feat. Lil Baby & Q Da Fool),1653
2024-01-21 10:44,lucidbeatz,Gone (sped up),1791
2024-01-21 10:44,lucidbeatz,Gone (sped up),4917
2024-01-21 10:44,Joji,Glimpse of Us,2293
2024-01-21 10:44,Joji,Glimpse of Us,1290
2024-01-21 10:48,Taylor Swift,Love Story (Taylor’s Version),235766
2024-01-21 11:31,Young Pappy,Homicide,73194
2024-01-21 11:31,Ever,Everything New (feat. Lil Baby & Q Da Fool),105256
2024-01-21 11:32,King Von,On Yo Ass,1855
2024-01-21 11:44,Chief Keef,I Don't Like,1962
2024-01-21 11:47,The Weeknd,I Feel It Coming,4458
2024-01-21 11:47,The Vamps,Somebody To You,179138
2024-01-21 11:48,BROCKHAMPTON,QUEER,2461
2024-01-21 11:48,Kanye West,Welcome To Heartbreak,4458
2024-01-21 11:48,Royal Teeth,Wild,1718
2024-01-21 11:48,Maroon 5,Maps,35990
2024-01-21 11:48,SG Lewis,Vibe Like This (feat. Ty Dolla $ign & Lucky Daye),36826
2024-01-21 11:48,Hadouken!,Bliss Out,2809
2024-01-21 11:48,Aries,ETA,1323
2024-01-21 11:48,Lil Cobaine,Redlight District,1834
2024-01-21 11:50,GROUPLOVE,Tongue Tied,2069
2024-01-21 11:50,Coldplay,Higher Power,60647
2024-01-21 11:52,Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,161941
2024-01-21 12:03,M83,Reunion,235386
2024-01-21 12:03,The Paper Kites,Bloom (Online Bonus Track),8700
2024-01-21 12:10,M83,Reunion,379216
2024-01-21 12:11,The Paper Kites,Bloom (Online Bonus Track),37893
2024-01-21 12:27,M83,Reunion,585306
2024-01-21 12:27,The Paper Kites,Bloom (Online Bonus Track),3883
2024-01-21 12:30,CHAPPO,Come Home,181520
2024-01-21 12:31,The Black Keys,Lonely Boy,79510
2024-01-21 12:33,Jai Paul,BTSTU - Edit,36460
2024-01-21 12:33,M83,Reunion,3320
2024-01-21 12:33,Real Estate,It's Real,80790
2024-01-21 12:36,Lil Uzi Vert,Silly Watch,178380
2024-01-21 12:39,Crystal Castles,Not In Love - Radio Version,175110
2024-01-21 12:39,Lil Uzi Vert,Ps & Qs,1230
2024-01-21 12:44,Parade of Lights,Feeling Electric,221617
2024-01-21 12:44,Flawes,Is It Any Wonder,3462
2024-01-21 12:47,Kygo,Firestone,4370
2024-01-21 12:47,Brian Tyler,Formula 1 Theme,5250
2024-01-21 12:47,Tears For Fears,The World Is Yours To Take - Budweiser Anthem Of The FIFA World Cup 2022,161230
2024-01-21 12:47,Formula Speed,Si No Estás - Sped Up,3710
2024-01-21 12:47,XXXTENTACION,A GHETTO CHRISTMAS CAROL,4040
2024-01-21 12:47,Ramz,Barking,1780
2024-01-21 12:50,Prides,Out Of The Blue,176000
2024-01-21 12:51,Joywave,Tongues,7610
2024-01-21 12:51,Architecture In Helsinki,Escapee,32960
2024-01-21 12:51,Bayonne,Appeals,2680
2024-01-21 12:54,Coolio,Gangsta's Paradise,6030
2024-01-21 12:54,Kenny G,The Moment,11600
2024-01-21 12:54,Phil Collins,One More Night - 2016 Remaster,3930
2024-01-21 12:54,Kanye West,Moon,110650
2024-01-21 12:58,Coldplay,Clocks,2800
2024-01-21 12:58,April Towers,A Little Bit Of Fear,3150
2024-01-21 12:58,Koi,big,2120
2024-01-21 12:58,soulache,haha,3830
2024-01-21 12:58,Lil Baby,Yes Indeed,3810
2024-01-21 12:58,Lil Uzi Vert,Werewolf (feat. Bring Me The Horizon),3890
2024-01-21 12:58,Lil Uzi Vert,Money Longer,4190
2024-01-21 12:58,Tiësto,10:35,4810
2024-01-21 12:58,ThxSoMch,SPIT IN MY FACE!,2930
2024-01-21 12:58,Kanye West,I Wonder,6830
2024-01-21 12:58,Kanye West,Homecoming,3770
2024-01-21 12:58,Don Toliver,Private Landing (feat. Justin Bieber & Future),213140
2024-01-21 12:58,Riton,Fake ID (Coke & Rum Remix),1940
2024-01-21 13:02,The Kid LAROI,I GUESS IT'S LOVE?,3230
2024-01-21 13:02,Graffiti6,Stare Into The Sun - Edit,2560
2024-01-21 13:02,Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance),2640
2024-01-21 13:02,Lil Uzi Vert,Flooded The Face,192727
2024-01-21 13:02,Fei Yu-ching,一翦梅,1520
2024-01-21 13:02,SZA,Kill Bill,35702
2024-01-21 13:05,Polo G,Don't Believe The Hype,173720
2024-01-21 13:05,Pink Floyd,Time,500
2024-01-21 13:05,Lil Uzi Vert,Erase Your Social,1120
2024-01-21 13:05,DaBaby,BOP,900
2024-01-21 13:05,Empire Of The Sun,Standing On The Shore,1410
2024-01-21 13:05,Adele,Set Fire to the Rain,1160
2024-01-21 13:07,Pink Floyd,Time,2920
2024-01-21 13:07,The Kooks,Around Town,1010
2024-01-21 13:07,Empire Of The Sun,Standing On The Shore,88000
2024-01-21 13:12,A-Trak,Push (feat. Andrew Wyatt),304721
2024-01-21 13:15,Diddy - Dirty Money,Coming Home,10300
2024-01-21 13:15,KALEO,Way down We Go,171318
2024-01-21 13:15,J. Cole,a m a r i,1690
2024-01-21 13:15,UNIKID,Choose Me,1220
2024-01-21 13:15,Tory Lanez,Hurts Me,1030
2024-01-21 13:15,Tom Odell,Another Love,510
2024-01-21 13:15,JAY-Z,Empire State Of Mind,800
2024-01-21 13:15,BROCKHAMPTON,FAKE,920
2024-01-21 13:18,UNIKID,Choose Me,142196
2024-01-21 13:18,Tom Odell,Another Love,0
2024-01-21 13:18,Quinn XCII,Stacy,1100
2024-01-21 13:21,Kendrick Lamar,N95,890
2024-01-21 13:21,Excuse Me Moses,I Wonder,990
2024-01-21 13:21,Seal,Kiss from a Rose,1750
2024-01-21 13:21,Paper Route,Chariots,195820
2024-01-21 13:25,Frank Ocean,Lost,1490
2024-01-21 13:25,Kendrick Lamar,N95,1610
2024-01-21 13:25,Excuse Me Moses,I Wonder,168640
2024-01-21 13:25,Kanye West,Fade,1790
2024-01-21 13:28,Travis Scott,THANK GOD,184888
2024-01-21 13:29,KIDS SEE GHOSTS,Reborn,640
2024-01-21 13:29,Twenty One Pilots,Stressed Out,710
2024-01-21 13:29,Radical Face,Welcome Home,660
2024-01-21 13:29,Ryan Librada,RENO,820
2024-01-21 13:29,Joji,Your Man,690
2024-01-21 13:29,Apocalipsa,הכל ורוד,43261
2024-01-21 13:33,Empire Of The Sun,DNA,233853
2024-01-21 13:34,Kanye West,All Falls Down,710
2024-01-21 13:34,Kendrick Lamar,We Cry Together,41206
2024-01-21 13:34,Bryan Adams,Summer Of '69,1050
2024-01-21 13:39,Frank Ocean,Novacane,302346
2024-01-21 13:42,Bibio,Petals,146729
2024-01-21 14:20,Lil Baby,We Should (feat. Young Thug),128434
2024-01-21 14:20,Tion Wayne,I Dunno (feat. Dutchavelli & Stormzy),2240
2024-01-21 14:20,Lil Baby,Drip Too Hard (Lil Baby & Gunna),618
2024-01-21 14:24,M83,Reunion,235386
2024-01-21 14:27,M83,Reunion,235386
2024-01-21 14:31,M83,Reunion,235386
2024-01-21 14:35,M83,Reunion,235386
2024-01-21 14:36,M83,Reunion,47045
2024-01-21 15:49,M83,Reunion,188600
2024-01-21 16:12,Gareth Emery,Saving Light,15519
2024-01-21 16:13,Baby Keem,16,10070
2024-01-21 16:20,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-21 16:22,The Kid LAROI,NIGHTS LIKE THIS,54506
2024-01-21 20:53,M83,Reunion,235386
2024-01-21 20:54,Riton,Fake ID (Coke & Rum Remix),10844
2024-01-21 20:57,M83,Reunion,235386
2024-01-21 20:58,Riton,Fake ID (Coke & Rum Remix),19494
2024-01-21 21:06,Baio,Sister of Pearl,253440
2024-01-21 21:33,ABBA,Angeleyes,133330
2024-01-21 21:36,Sleepy Hallow,Die Young (feat. 347aidan),148816
2024-01-21 21:40,M83,Reunion,235386
2024-01-21 21:43,M83,Reunion,235386
2024-01-21 22:28,Sleepy Hallow,Die Young (feat. 347aidan),51556
2024-01-22 02:26,M83,Reunion,459466
2024-01-22 02:26,Marshmello,Bye Bye,0
2024-01-22 03:21,Danheim,Grima,10688
2024-01-22 03:21,Young the Giant,Cough Syrup,3626
2024-01-22 03:21,M83,Reunion,204138
2024-01-22 03:21,21 Savage,redrum,3328
2024-01-22 03:22,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-22 03:24,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-22 03:25,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-22 03:27,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-22 03:28,The Kid LAROI,NIGHTS LIKE THIS,86983
2024-01-22 03:30,The Kid LAROI,NIGHTS LIKE THIS,86983
